id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
3363954,Australia,NSW,BALLINA SHIRE COUNCIL,House,0.00,"$2,900.00 ",Entire home/apt,3,4,4
13048065,Australia,NSW,BALLINA SHIRE COUNCIL,House,1.55,$28.00 ,Private room,1,1,1
1451202,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,15.00,$141.00 ,Entire home/apt,1,1,1
2345959,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.50,$50.00 ,Private room,4,4,3
26087141,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.78,$52.00 ,Private room,1,1,1
26314590,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.35,$50.00 ,Private room,1,1,1
17031042,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.44,$45.00 ,Private room,1,1,2
21080873,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.71,$50.00 ,Private room,1,1,1
15473801,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.79,$65.00 ,Private room,1,1,1
10864615,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.86,$51.00 ,Private room,1,1,1
4278650,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.58,$60.00 ,Private room,1,1,1
24859207,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.06,$60.00 ,Private room,1,1,1
22518773,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,19.20,$70.00 ,Private room,1,3,6
4164430,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.95,$70.00 ,Private room,1,1,1
25432662,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.98,$45.00 ,Private room,1,1,1
31195850,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.96,$75.00 ,Private room,1,0,1
20195913,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.95,$70.00 ,Private room,1,1,1
21031297,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.87,$75.00 ,Private room,1,1,2
31398161,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.90,$60.00 ,Private room,2,2,2
11345789,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,17.45,$59.00 ,Private room,1,1,2
10710807,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.86,$85.00 ,Entire home/apt,1,0,2
8800936,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.85,$85.00 ,Private room,1,1,1
4726947,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.45,$70.00 ,Private room,1,1,1
5863664,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,18.14,$80.00 ,Private room,1.5,1,1
28866210,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.00,$79.00 ,Private room,1,1,1
17372561,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.45,$70.00 ,Private room,1.5,1,1
23966274,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.28,$50.00 ,Private room,1,1,1
19334835,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.04,$79.00 ,Entire home/apt,1,1,1
31323372,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.87,$65.00 ,Private room,1,1,1
23945043,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.11,$70.00 ,Private room,1,1,1
13520887,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.36,$75.00 ,Entire home/apt,1,2,2
10636849,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.44,$79.00 ,Entire home/apt,1,2,3
20488773,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.82,$79.00 ,Private room,1.5,1,1
17332087,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,16.97,$60.00 ,Private room,1.5,1,1
33721765,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.11,$89.00 ,Entire home/apt,1,0,1
18125752,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.93,$80.00 ,Entire home/apt,1,1,1
21505241,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.14,$63.00 ,Private room,1,1,1
20196511,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.66,$60.00 ,Private room,1.5,1,1
794579,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.85,$65.00 ,Private room,1,1,1
798820,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.18,$75.00 ,Private room,1,1,1
20193547,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.34,$89.00 ,Private room,1.5,1,2
31361359,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.44,$60.00 ,Private room,1,1,1
18048611,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.01,$75.00 ,Private room,1.5,1,1
7679991,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.63,$105.00 ,Private room,1,1,1
26675428,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.80,$110.00 ,Entire home/apt,1.5,2,2
30018658,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.95,$79.00 ,Entire home/apt,1,1,1
2603464,Australia,New South Wales,BALLINA SHIRE COUNCIL,Guest suite,19.84,$112.00 ,Entire home/apt,1,0,1
6227098,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.45,$99.00 ,Private room,1,1,1
10840058,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.75,$89.00 ,Entire home/apt,1,1,1
4815324,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,20.01,$111.00 ,Private room,1,1,2
